公民團體 0.003388(118/274)	立法院臨時會 0.003116(106/301)	經濟復甦 0.002511(83/222)	高收益債 0.002481(81/144)	爭取連任 0.002299(77/196)	景氣復甦 0.002208(70/178)	願景 0.001876(57/326)	市府團隊 0.001694(60/170)	過去10年 0.001573(52/130)	空軍司令部 0.001573(50/95)	
台北市長參選人 0.00885(336/1282)	參選人柯文哲 0.006211(217/540)	經濟發展 0.005992(231/1042)	柯文哲說 0.005332(191/334)	醫師柯文哲 0.005332(191/264)	大法人 0.005112(187/361)	台大醫師 0.005002(178/236)	台灣人民 0.004782(176/464)	總統說 0.004562(168/350)	民主法治 0.003573(131/149)	
高雄市政府 0.017087(623/1468)	國家安全 0.005313(189/422)	大飯店 0.005203(185/448)	嚴部長 0.004053(148/148)	海軍陸戰隊 0.003971(147/172)	推薦新聞 0.003286(118/552)	人才招募 0.002875(106/197)	島國前進 0.00241(91/155)	張志軍來 0.0023(83/268)	七夕情人節 0.002246(76/184)	
國民黨團 0.013335(535/555)	條例草案 0.007358(291/348)	立法院黨團 0.005877(233/242)	監察院人事 0.005701(227/227)	同意權案 0.004948(197/197)	中國國民黨 0.004897(189/416)	監督條例 0.004847(198/689)	人事同意權 0.004621(192/405)	2014年8月 0.003692(149/796)	兩岸協議 0.003541(141/581)	
推薦新聞 0.011468(391/552)	電子商務 0.010145(353/722)	產業發展 0.008586(295/754)	智慧手機 0.004911(155/348)	黃埔建軍 0.004352(148/148)	道瓊工業 0.004117(136/173)	就業機會 0.004087(143/432)	指數下跌 0.004058(138/209)	指數上漲 0.00394(140/293)	英國倫敦 0.003411(116/158)	
基隆市長 0.009417(313/789)	投資者 0.005399(171/362)	國民黨提名 0.004529(153/266)	上午8時 0.002849(85/282)	近年來 0.002849(95/320)	基隆市議會 0.002669(87/147)	昨天下午 0.00234(83/236)	市議會議長 0.0021(73/132)	基隆市政府 0.00174(63/125)	6月19日 0.00171(56/130)	
今天說 0.003908(129/628)	勞動部 0.00317(103/460)	貿易協定 0.003016(97/328)	蘋果公司 0.002031(64/117)	事業主管 0.001785(58/62)	三商美邦人壽 0.001693(56/67)	給人 0.001662(48/120)	綠建築 0.001539(51/196)	目的事業 0.001539(51/56)	回台 0.001477(44/202)	
產業用地 0.001952(65/77)	香港馬會 0.001832(61/61)	台中市政府 0.001682(52/312)	國內投信 0.001442(51/60)	運動彩券 0.001352(46/48)	新基金 0.001322(44/56)	宜蘭縣政府 0.001292(40/80)	國道三號 0.001262(41/60)	警方調查 0.001141(36/84)	社區照顧 0.001141(38/40)	
台北股市 0.00798(344/355)	伊波拉病毒 0.006754(292/292)	股市今天 0.005459(238/247)	成交金額 0.004973(210/456)	台股今天 0.003377(146/146)	股價指數 0.002984(131/234)	金額新台幣 0.00266(117/191)	終場上漲 0.002475(107/110)	大法人 0.00229(103/361)	加權股價 0.002267(100/162)	
基金經理人 0.005965(238/824)	金管會主委 0.005498(214/230)	主委曾銘宗 0.005342(205/226)	服貿協議 0.003709(147/822)	印度股市 0.002697(104/106)	曾銘宗表示 0.00249(94/102)	高市府 0.002386(90/336)	8月1日 0.002127(84/438)	亞洲市場 0.001997(74/132)	沒人 0.001893(68/364)	
